pclass embarked home.dest sex
1st Cherbourg AlbanyNY male
1st Cherbourg AustriaHungaryGermantownPhiladelphiaPA male
1st Cherbourg BaselSwitzerland male
1st Cherbourg BelgiumMontrealPQ female
1st Cherbourg BrooklineMA female
1st Cherbourg BrooklynNY male
1st Cherbourg BrooklynNY female
1st Cherbourg BrooklynNY male
1st Cherbourg BuffaloNY male
1st Cherbourg CalgaryAB male
1st Cherbourg CalgaryAB female
1st Cherbourg ChicagoIL female
1st Cherbourg ChicagoIL female
1st Cherbourg ChicagoIL male
1st Cherbourg CooperstownNY female
1st Cherbourg DeephavenMNCedarRapidsIA male
1st Cherbourg DeephavenMNCedarRapidsIA female
1st Cherbourg DenverCO female
1st Cherbourg DowagiacMI male
1st Cherbourg DowagiacMI female
1st Cherbourg ElkinsParkPA male
1st Cherbourg ElkinsParkPA female
1st Cherbourg ElkinsParkPA male
1st Cherbourg GallipolisOhioParisNewYork male
1st Cherbourg GenevaSwitzerlandRadnorPA male
1st Cherbourg GenevaSwitzerlandRadnorPA male
1st Cherbourg GermantownPhiladelphiaPA female
1st Cherbourg GlenRidgeNJ male
1st Cherbourg HaverfordPA male
1st Cherbourg HaverfordPA female
1st Cherbourg HaverfordPA male
1st Cherbourg HaverfordPACooperstownNY male
1st Cherbourg HaverfordPACooperstownNY female
1st Cherbourg HaverfordPACooperstownNY female
1st Cherbourg HaverfordPACooperstownNY male
1st Cherbourg HaverfordPACooperstownNY female
1st Cherbourg IndianapolisIN male
1st Cherbourg LakewoodNJ female
1st Cherbourg LakewoodNJ male
1st Cherbourg LakewoodNJ female
1st Cherbourg LexingtonMA male
1st Cherbourg LexingtonMA female
1st Cherbourg LexingtonMA female
1st Cherbourg LondonParis male
1st Cherbourg LondonParis female
1st Cherbourg LosAngelesCA male
1st Cherbourg LosAngelesCA female
1st Cherbourg MadridSpain male
1st Cherbourg MadridSpain female
1st Cherbourg MexicoCityMexico male
1st Cherbourg MontevideoUruguay male
1st Cherbourg MontrealPQ female
1st Cherbourg MontrealPQ male
1st Cherbourg MontrealPQ female
1st Cherbourg MtAiryPhiladelphiaPA female
1st Cherbourg MtAiryPhiladelphiaPA female
1st Cherbourg NewYorkNY male
1st Cherbourg NewYorkNY female
1st Cherbourg NewYorkNY male
1st Cherbourg NewYorkNY female
1st Cherbourg NewYorkNY male
1st Cherbourg NewYorkNY female
1st Cherbourg NewYorkNY female
1st Cherbourg NewYorkNY female
1st Cherbourg NewYorkNY male
1st Cherbourg NewYorkNY male
1st Cherbourg NewYorkNY female
1st Cherbourg NewYorkNY female
1st Cherbourg NewYorkNY female
1st Cherbourg NewYorkNY male
1st Cherbourg NewYorkNY female
1st Cherbourg NewYorkNY male
1st Cherbourg NewYorkNY male
1st Cherbourg NewYorkNY male
1st Cherbourg NewYorkNY female
1st Cherbourg NewYorkNY male
1st Cherbourg NewYorkNY male
1st Cherbourg NewYorkNY female
1st Cherbourg NewYorkNY male
1st Cherbourg NewYorkNY male
1st Cherbourg NewYorkNY female
1st Cherbourg NewYorkNY female
1st Cherbourg NewYorkNY male
1st Cherbourg NewYorkNY female
1st Cherbourg NewYorkNY female
1st Cherbourg NewYorkNYBriarcliffManorNY female
1st Cherbourg NewYorkNYWashingtonDC female
1st Cherbourg NewarkNJ male
1st Cherbourg NewarkNJ female
1st Cherbourg OmahaNE male
1st Cherbourg ParisNewYorkNY male
1st Cherbourg ParisFrance female
1st Cherbourg ParisFrance male
1st Cherbourg ParisFrance female
1st Cherbourg ParisFrance female
1st Cherbourg ParisFrance male
1st Cherbourg ParisFrance male
1st Cherbourg ParisFrance female
1st Cherbourg ParisFrance male
1st Cherbourg ParisFrance female
1st Cherbourg ParisFranceNewYorkNY male
1st Cherbourg ParisFranceNewYorkNY female
1st Cherbourg ParisFranceNewYorkNY female
1st Cherbourg PhiladelphiaPA male
1st Cherbourg PhiladelphiaPA female
1st Cherbourg PhiladelphiaPA male
1st Cherbourg PortlandOR male
1st Cherbourg PortlandOR female
1st Cherbourg ProvidenceRI male
1st Cherbourg ProvidenceRI female
1st Cherbourg SanFranciscoCA male
1st Cherbourg StJamesLongIslandNY male
1st Cherbourg StockholmSweden female
1st Cherbourg TuxedoParkNY male
1st Cherbourg TuxedoParkNY female
1st Cherbourg TuxedoParkNY male
1st Cherbourg VancouverBC male
1st Cherbourg WashingtonDC female
1st Cherbourg WinnipegMB male
1st Cherbourg WinnipegMN male
1st Cherbourg ZurichSwitzerland female
1st Cherbourg ZurichSwitzerland male
1st Cherbourg ZurichSwitzerland female
1st Queenstown FondduLacWI male
1st Queenstown FondduLacWI female
1st Queenstown GreenBayWI female
1st Southampton AmeniaND male
1st Southampton AmeniaND female
1st Southampton AscotBerkshireRochesterNY male
1st Southampton BaysideQueensNY female
1st Southampton BelfastNI male
1st Southampton BelmontMA female
1st Southampton BenningtonVT male
1st Southampton BirkdaleEnglandClevelandOhio female
1st Southampton BostonMA male
1st Southampton BostonMA female
1st Southampton BrightonMA male
1st Southampton BrocktonMA male
1st Southampton BrooklynNY male
1st Southampton BrooklynNY female
1st Southampton BrooklynNY male
1st Southampton BrunswickME male
1st Southampton BrunswickME male
1st Southampton BrynMawrPA male
1st Southampton BrynMawrPA female
1st Southampton BrynMawrPA female
1st Southampton BrynMawrPA male
1st Southampton DorchesterMA male
1st Southampton DuluthMN female
1st Southampton EastBridgewaterMA male
1st Southampton EastOrangeNJ male
1st Southampton EnglandSaltLakeCityUtah male
1st Southampton GreenwichCT female
1st Southampton GreenwichCT female
1st Southampton HaddenfieldNJ male
1st Southampton HalifaxNS male
1st Southampton HessleYorks male
1st Southampton HudsonNY female
1st Southampton HudsonNY female
1st Southampton HudsonNY female
1st Southampton HuntingtonWV male
1st Southampton HuntingtonWV female
1st Southampton IsleofWightEngland male
1st Southampton IsleworthEngland male
1st Southampton IsleworthEngland female
1st Southampton KingstonSurrey male
1st Southampton LimaPeru male
1st Southampton LittleOnnHallStaffs male
1st Southampton LittleOnnHallStaffs female
1st Southampton Liverpool male
1st Southampton London male
1st Southampton London male
1st Southampton LondonVancouverBC female
1st Southampton LondonEastOrangeNJ male
1st Southampton LondonEastOrangeNJ female
1st Southampton LondonBirmingham male
1st Southampton LondonMiddlesex male
1st Southampton LondonNewYorkNY male
1st Southampton LondonWinnipegMB male
1st Southampton LondonEngland female
1st Southampton LondonEngland male
1st Southampton LondonEngland male
1st Southampton LosAngelesCA male
1st Southampton ManchesterEngland male
1st Southampton MilwaukeeWI male
1st Southampton MilwaukeeWI female
1st Southampton MilwaukeeWI female
1st Southampton MinneapolisMN male
1st Southampton MinneapolisMN female
1st Southampton MontevideoUruguay male
1st Southampton MontevideoUruguay male
1st Southampton MontrealPQ male
1st Southampton MontrealPQ female
1st Southampton MontrealPQ male
1st Southampton MontrealPQ female
1st Southampton MontrealPQ male
1st Southampton MontrealPQ male
1st Southampton MontrealPQChestervilleON female
1st Southampton MontrealPQChestervilleON male
